number,card title,description,cardtype,front cardtype,back cardtype,title color,rarity,rarity icon,back rarity icon
112,Hammer Time!,Alla klunkar är +1,Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
113,Double Up!,Spelarna får dra två kort per runda,Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
114,Wild West,"Fritt fram att satsa 1–5 klunkar och utmana vem du vill på duell, när du vill",Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
115,Four-Sure Fred,"I DUELLER: 
1–3 räknas som 1 och du dricker 3 klunkar
4–6 räknas som 6

Övriga tärningsslag slår du som vanligt",Character,CardFrontType=Character,CardBackType=Character,#FF00FF,Karaktär,RarityIcon=Karaktär,RarityIcon=NONE
116,Trapster Trevor,"När en av dina Traps utlöses kan du slå en tärning. 
Slår du 1–3 behöver du inte slänga kortet – det kan användas en gång till.",Character,CardFrontType=Character,CardBackType=Character,#FF00FF,Karaktär,RarityIcon=Karaktär,RarityIcon=NONE
117,Devastating Defeat,Förlorar du en duell dricker du +4,Trap-,CardFrontType=Trap-,CardBackType=Trap-,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
118,Devastating Defeat,Förlorar du en duell dricker du +4,Trap-,CardFrontType=Trap-,CardBackType=Trap-,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
119,Devastating Defeat,Förlorar du en duell dricker du +4,Trap-,CardFrontType=Trap-,CardBackType=Trap-,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
120,Devastating Defeat,Förlorar du en duell dricker du +4,Trap-,CardFrontType=Trap-,CardBackType=Trap-,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
121,Misfire,Du har -2 i din nästa duell,Trap-,CardFrontType=Trap-,CardBackType=Trap-,#FFD700,Guld,RarityIcon=Guld,RarityIcon=Guld
122,Misfire,Du har -2 i din nästa duell,Trap-,CardFrontType=Trap-,CardBackType=Trap-,#FFD700,Guld,RarityIcon=Guld,RarityIcon=Guld
123,Minefield,"När någon delar ut klunkar till dig, slå två tärningar. Två lika: du klarar dig och dricker som vanligt. Annars adderas tärningarna till antalet",Trap-,CardFrontType=Trap-,CardBackType=Trap-,#6D9EEB,Diamant,RarityIcon=Diamant,RarityIcon=Diamant
124,Mexican Standoff,"Välj tre spelare som duellerar mot varandra. Alla slår, de två lägsta förlorar. Vinnaren delar ut 5 till en av förlorarna",Shopcard,CardFrontType=Shopcard,CardBackType=Shopcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
125,Mexican Standoff,"Välj tre spelare som duellerar mot varandra. Alla slår, de två lägsta förlorar. Vinnaren delar ut 5 till en av förlorarna",Shopcard,CardFrontType=Shopcard,CardBackType=Shopcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
126,Selective Drawing,"På din tur: titta på de tre översta korten, välj ett och lägg tillbaka de andra i valfri ordning på toppen. Detta förbrukar din tur",Shopcard,CardFrontType=Shopcard,CardBackType=Shopcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
127,Selective Drawing,"På din tur: titta på de tre översta korten, välj ett och lägg tillbaka de andra i valfri ordning på toppen. Detta förbrukar din tur",Shopcard,CardFrontType=Shopcard,CardBackType=Shopcard,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=Silver
128,Saloon Brawl,Slagsmål bryter ut! Alla duellerar samtidigt mot sin vänstra granne. Förlorarna dricker 4,Event,CardFrontType=Event,CardBackType=Event,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
129,Saloon Brawl,Slagsmål bryter ut! Alla duellerar samtidigt mot sin vänstra granne. Förlorarna dricker 4,Event,CardFrontType=Event,CardBackType=Event,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
130,Saloon Brawl,Slagsmål bryter ut! Alla duellerar samtidigt mot sin vänstra granne. Förlorarna dricker 4,Event,CardFrontType=Event,CardBackType=Event,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
131,Saloon Brawl,Slagsmål bryter ut! Alla duellerar samtidigt mot sin vänstra granne. Förlorarna dricker 4,Event,CardFrontType=Event,CardBackType=Event,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=NONE
132,Cattle Stampede,Boskapen skenar genom stan! Alla slår en tärning. Alla som slår 1–3 trampas ner och dricker 4. Den som slår högst delar ut 4,Event,CardFrontType=Event,CardBackType=Event,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
133,Cattle Stampede,Boskapen skenar genom stan! Alla slår en tärning. Alla som slår 1–3 trampas ner och dricker 4. Den som slår högst delar ut 4,Event,CardFrontType=Event,CardBackType=Event,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
134,Cattle Stampede,Boskapen skenar genom stan! Alla slår en tärning. Alla som slår 1–3 trampas ner och dricker 4. Den som slår högst delar ut 4,Event,CardFrontType=Event,CardBackType=Event,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
135,Wanted Poster,Sheriffen spikar upp en efterlysning. Spelaren med mest stöldgods är efterlyst – alla andra med stöldgods delar ut 2 klunkar var till den efterlysta. Har ingen stöldgods är det du,Event,CardFrontType=Event,CardBackType=Event,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
136,Wanted Poster,Sheriffen spikar upp en efterlysning. Spelaren med mest stöldgods är efterlyst – alla andra med stöldgods delar ut 2 klunkar var till den efterlysta. Har ingen stöldgods är det du,Event,CardFrontType=Event,CardBackType=Event,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
137,Wanted Poster,Sheriffen spikar upp en efterlysning. Spelaren med mest stöldgods är efterlyst – alla andra med stöldgods delar ut 2 klunkar var till den efterlysta. Har ingen stöldgods är det du,Event,CardFrontType=Event,CardBackType=Event,#CCCCCC,Silver,RarityIcon=Silver,RarityIcon=NONE
138,Last Train Out of Town,Tåget går! Slå en tärning i turordning från dig. Första spelaren som slår 6 hinner ombord och slipper undan. Slår ingen 6 på ett varv dricker alla 5,Event,CardFrontType=Event,CardBackType=Event,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
139,Last Train Out of Town,Tåget går! Slå en tärning i turordning från dig. Första spelaren som slår 6 hinner ombord och slipper undan. Slår ingen 6 på ett varv dricker alla 5,Event,CardFrontType=Event,CardBackType=Event,#FFD700,Guld,RarityIcon=Guld,RarityIcon=NONE
140,Dust Storm,"Sandstormen sveper in. Lägg alla Traps på bordet, blanda dem och dela ut dem slumpmässigt igen. Alla dricker 2 medan ni gör det",Event,CardFrontType=Event,CardBackType=Event,#6D9EEB,Diamant,RarityIcon=Diamant,RarityIcon=NONE
141,Sundown,"Solen går ner. Alla klunkar är -1, men aldrig mindre än 1",Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
142,Bounty Season,Alla stöldgods är dubbelt värda vid försäljning,Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
143,Quickdraw Hour,Alla dueller avgörs med två tärningar per spelare. Summan gäller.,Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
144,Gold Fever,Varje gång en spelare delar ut 5 klunkar eller mer får den 1 guld.,Effect,CardFrontType=Effect,CardBackType=Effect,#FF0000,Special,RarityIcon=Special,RarityIcon=NONE
145,Steady Hand,Slå om en tärning – din egen eller någon annans.,Shopcard,CardFrontType=Shopcard,CardBackType=Shopcard,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=Koppar
146,Steady Hand,Slå om en tärning – din egen eller någon annans.,Shopcard,CardFrontType=Shopcard,CardBackType=Shopcard,#FF9902,Koppar,RarityIcon=Koppar,RarityIcon=Koppar
